tier,step,rows_in,rows_out,ts
agg,151.0,40960.0,40.0,2026/01/16-22:13:31.059
agg,152.0,40960.0,40.0,2026/01/16-22:13:31.072
agg,153.0,40960.0,40.0,2026/01/16-22:13:31.086
agg,154.0,40960.0,40.0,2026/01/16-22:13:32.002
agg,155.0,57360.0,56.0,2026/01/16-22:13:32.025
agg,156.0,65516.0,64.0,2026/01/16-22:13:32.050
agg,157.0,40960.0,40.0,2026/01/16-22:13:32.066
agg,158.0,40960.0,40.0,2026/01/16-22:13:32.081
agg,159.0,40960.0,40.0,2026/01/16-22:13:32.096
agg,160.0,40960.0,40.0,2026/01/16-22:13:33.010
agg,161.0,40960.0,40.0,2026/01/16-22:13:33.022
agg,162.0,40960.0,40.0,2026/01/16-22:13:33.035
agg,163.0,40960.0,40.0,2026/01/16-22:13:33.047
agg,164.0,40960.0,40.0,2026/01/16-22:13:33.059
agg,165.0,40960.0,40.0,2026/01/16-22:13:33.074
agg,166.0,57360.0,56.0,2026/01/16-22:13:33.095
agg,167.0,65516.0,64.0,2026/01/16-22:13:34.020
agg,168.0,40960.0,40.0,2026/01/16-22:13:34.033
agg,169.0,40960.0,40.0,2026/01/16-22:13:34.045
agg,170.0,40960.0,40.0,2026/01/16-22:13:34.060
agg,171.0,40960.0,40.0,2026/01/16-22:13:34.074
agg,172.0,40960.0,40.0,2026/01/16-22:13:34.088
agg,173.0,40960.0,40.0,2026/01/16-22:13:35.000
agg,174.0,40960.0,40.0,2026/01/16-22:13:35.012
agg,175.0,40960.0,40.0,2026/01/16-22:13:35.025
agg,176.0,40960.0,40.0,2026/01/16-22:13:35.040
agg,177.0,57360.0,56.0,2026/01/16-22:13:35.066
agg,178.0,65516.0,64.0,2026/01/16-22:13:35.088
agg,179.0,40960.0,40.0,2026/01/16-22:13:36.002
agg,180.0,40960.0,40.0,2026/01/16-22:13:36.017
agg,181.0,40960.0,40.0,2026/01/16-22:13:36.030
agg,182.0,40960.0,40.0,2026/01/16-22:13:36.043
agg,183.0,40960.0,40.0,2026/01/16-22:13:36.059
agg,184.0,40960.0,40.0,2026/01/16-22:13:36.074
agg,185.0,40960.0,40.0,2026/01/16-22:13:36.089
agg,186.0,40960.0,40.0,2026/01/16-22:13:37.005
agg,187.0,40960.0,40.0,2026/01/16-22:13:37.020
agg,188.0,57360.0,56.0,2026/01/16-22:13:37.046
agg,189.0,65516.0,64.0,2026/01/16-22:13:37.068
agg,190.0,40960.0,40.0,2026/01/16-22:13:37.083
agg,191.0,40960.0,40.0,2026/01/16-22:13:37.099
agg,192.0,40960.0,40.0,2026/01/16-22:13:38.012
agg,193.0,40960.0,40.0,2026/01/16-22:13:38.024
agg,194.0,40960.0,40.0,2026/01/16-22:13:38.039
agg,195.0,40960.0,40.0,2026/01/16-22:13:38.054
agg,196.0,40960.0,40.0,2026/01/16-22:13:38.069
agg,197.0,40960.0,40.0,2026/01/16-22:13:38.081
agg,198.0,40960.0,40.0,2026/01/16-22:13:38.096
agg,199.0,57360.0,56.0,2026/01/16-22:13:39.018
agg,200.0,65516.0,64.0,2026/01/16-22:13:39.038
agg,201.0,40960.0,40.0,2026/01/16-22:13:39.054
agg,202.0,40960.0,40.0,2026/01/16-22:13:39.066
agg,203.0,40960.0,40.0,2026/01/16-22:13:39.079
agg,204.0,40960.0,40.0,2026/01/16-22:13:39.094
agg,205.0,40960.0,40.0,2026/01/16-22:13:40.008
agg,206.0,40960.0,40.0,2026/01/16-22:13:40.024
agg,207.0,40960.0,40.0,2026/01/16-22:13:40.037
agg,208.0,40960.0,40.0,2026/01/16-22:13:40.051
agg,209.0,40960.0,40.0,2026/01/16-22:13:40.066
agg,210.0,57360.0,56.0,2026/01/16-22:13:40.092
agg,211.0,65516.0,64.0,2026/01/16-22:13:41.012
agg,212.0,40960.0,40.0,2026/01/16-22:13:41.025
agg,213.0,40960.0,40.0,2026/01/16-22:13:41.041
agg,214.0,40960.0,40.0,2026/01/16-22:13:41.056
agg,215.0,40960.0,40.0,2026/01/16-22:13:41.071
agg,216.0,40960.0,40.0,2026/01/16-22:13:41.087
agg,217.0,40960.0,40.0,2026/01/16-22:13:42.002
agg,218.0,40960.0,40.0,2026/01/16-22:13:42.017
agg,219.0,40960.0,40.0,2026/01/16-22:13:42.032
agg,220.0,40960.0,40.0,2026/01/16-22:13:42.048
agg,221.0,57360.0,56.0,2026/01/16-22:13:42.068
agg,222.0,65516.0,64.0,2026/01/16-22:13:42.088
agg,223.0,40960.0,40.0,2026/01/16-22:13:43.002
agg,224.0,40960.0,40.0,2026/01/16-22:13:43.015
agg,225.0,40960.0,40.0,2026/01/16-22:13:43.027
agg,226.0,40960.0,40.0,2026/01/16-22:13:43.041
agg,227.0,40960.0,40.0,2026/01/16-22:13:43.053
agg,228.0,40960.0,40.0,2026/01/16-22:13:43.067
agg,229.0,40960.0,40.0,2026/01/16-22:13:43.082
agg,230.0,40960.0,40.0,2026/01/16-22:13:43.096
agg,231.0,40960.0,40.0,2026/01/16-22:13:44.012
agg,232.0,57360.0,56.0,2026/01/16-22:13:44.038
agg,233.0,65516.0,64.0,2026/01/16-22:13:44.060
agg,234.0,40960.0,40.0,2026/01/16-22:13:44.074
agg,235.0,40960.0,40.0,2026/01/16-22:13:44.087
agg,236.0,40960.0,40.0,2026/01/16-22:13:45.002
agg,237.0,40960.0,40.0,2026/01/16-22:13:45.017
